tickers,transactionType,qty,strikePrice,unitCost,createdAt,expirationDate,status,tag
TSLA,STC,1.000000,170.000000,0.120000,2022-10-28T14:02:10.271334Z,2022-11-04,Expired,sell put
TSLA,BTC,1.000000,295.000000,0.150000,2022-11-01T14:01:04.009117Z,2022-11-11,Expired,buy call
TSLA,STC,1.000000,285.000000,0.970000,2022-11-01T14:02:12.166948Z,2022-11-25,Expired,sell call
TSLA,BTC,1.000000,170.000000,0.020000,2022-11-01T14:03:45.305943Z,2022-11-04,Expired,buy put
TSLA,STC,1.000000,160.000000,1.310000,2022-11-03T13:58:02.822336Z,2022-12-02,Expired,sell put
TSLA,BTC,2.000000,285.000000,0.140000,2022-11-07T16:05:57.474594Z,2022-11-25,Expired,buy call
TSLA,STC,1.000000,250.000000,1.100000,2022-11-07T17:07:20.746208Z,2022-12-02,Expired,sell call
TSLA,STC,1.000000,245.000000,0.730000,2022-11-09T15:32:23.012917Z,2022-12-02,Expired,sell call
TSLA,BTC,1.000000,250.000000,0.040000,2022-11-22T14:48:04.934251Z,2022-12-02,Expired,buy call
TSLA,BTC,1.000000,245.000000,0.050000,2022-11-22T14:48:23.805395Z,2022-12-02,Expired,buy call
TSLA,STC,1.000000,250.000000,0.640000,2022-11-23T15:35:58.106957Z,2022-12-30,Expired,sell call
TSLA,STC,1.000000,255.000000,0.590000,2022-11-28T14:52:11.087050Z,2022-12-30,Expired,sell call
TSLA,STC,1.000000,245.000000,0.830000,2022-11-29T15:38:47.486945Z,2022-12-30,Expired,sell call
TSLA,STC,1.000000,145.000000,1.170000,2022-12-05T14:58:25.377863Z,2022-12-30,Expired,sell put
TSLA,BTC,1.000000,245.000000,0.130000,2022-12-13T16:07:18.587299Z,2022-12-30,Expired,buy call
TSLA,BTC,1.000000,255.000000,0.090000,2022-12-13T16:07:34.731852Z,2022-12-30,Expired,buy call
TSLA,BTC,1.000000,250.000000,0.110000,2022-12-13T16:07:52.576456Z,2022-12-30,Expired,buy call
TSLA,STC,1.000000,205.000000,0.340000,2022-12-20T15:08:01.717874Z,2023-01-06,Expired,sell call
TSLA,STC,1.000000,205.000000,0.600000,2022-12-20T15:08:38.286733Z,2023-01-13,Expired,sell call
TSLA,STC,1.000000,55.000000,0.350000,2022-12-23T16:27:18.633362Z,2023-01-27,Expired,sell put
TSLA,STC,1.000000,55.000000,0.490000,2022-12-28T17:30:03.603209Z,2023-01-27,Expired,sell put
TSLA,BTC,2.000000,55.000000,0.060000,2023-01-10T15:38:30.494352Z,2023-01-27,Expired,buy put
TSLA,STC,1.000000,114.000000,0.040000,2023-01-13T15:49:23.608792Z,2023-01-13,Expired,sell put
TSLA,STC,1.000000,220.000000,0.260000,2023-01-17T15:43:22.863099Z,2023-02-17,Expired,sell call
TSLA,STC,1.000000,215.000000,0.370000,2023-01-17T15:43:51.135498Z,2023-02-24,Expired,sell call
TSLA,STC,1.000000,215.000000,0.360000,2023-01-17T15:44:12.837386Z,2023-02-24,Expired,sell call
TSLA,STC,1.000000,135.000000,0.060000,2023-01-20T16:35:21.917723Z,2023-01-20,Expired,sell call
TSLA,STC,1.000000,240.000000,0.450000,2023-01-26T15:31:21.547375Z,2023-03-03,Expired,sell call
TSLA,STC,2.000000,240.000000,0.500000,2023-02-09T15:31:00.589416Z,2023-03-24,Expired,sell call
TSLA,BTC,2.000000,215.000000,0.500000,2023-02-09T15:31:00.589416Z,2023-02-24,Expired,buy call
TSLA,STC,1.000000,255.000000,1.500000,2023-02-09T18:34:58.437704Z,2023-03-24,Expired,sell call
TSLA,BTC,1.000000,220.000000,1.500000,2023-02-09T18:34:58.437704Z,2023-02-17,Expired,buy call
TSLA,STC,1.000000,145.000000,2.090000,2023-02-22T15:43:40.986268Z,2023-03-24,Expired,sell put
TSLA,BTC,1.000000,145.000000,0.800000,2023-02-27T15:26:18.771074Z,2023-03-24,Expired,buy put
TSLA,BTC,1.000000,240.000000,0.410000,2023-02-28T15:37:54.507314Z,2023-03-03,Expired,buy call
TSLA,STC,1.000000,165.000000,5.000000,2023-03-02T15:31:16.881209Z,2023-04-06,Expired,sell put
TSLA,STC,1.000000,260.000000,1.430000,2023-03-03T15:35:59.201477Z,2023-04-06,Expired,sell call
TSLA,BTC,2.000000,240.000000,0.120000,2023-03-10T15:48:31.900961Z,2023-03-24,Expired,buy call
TSLA,BTC,1.000000,255.000000,0.070000,2023-03-10T15:49:02.588140Z,2023-03-24,Expired,buy call
TSLA,STC,1.000000,197.500000,0.010000,2023-03-10T15:51:12.638300Z,2023-03-10,Expired,sell call
TSLA,STC,1.000000,250.000000,1.360000,2023-03-21T15:11:44.329592Z,2023-04-21,Expired,sell call
TSLA,STC,1.000000,260.000000,3.350000,2023-03-21T19:13:57.995218Z,2023-05-19,Expired,sell call
TSLA,BTC,1.000000,165.000000,1.660000,2023-03-21T19:14:55.475819Z,2023-04-06,Expired,buy put
TSLA,BTC,1.000000,260.000000,0.310000,2023-03-21T19:15:44.452035Z,2023-04-06,Expired,buy call
TSLA,STC,1.000000,177.500000,0.030000,2023-03-24T15:07:20.503903Z,2023-03-24,Expired,sell put
TSLA,STC,1.000000,255.000000,1.750000,2023-03-30T15:20:14.359495Z,2023-05-05,Expired,sell call
TSLA,BTC,1.000000,250.000000,0.610000,2023-04-03T15:16:00.145457Z,2023-04-21,Expired,buy call
TSLA,BTC,1.000000,260.000000,1.800000,2023-04-03T15:17:46.452051Z,2023-05-19,Expired,buy call
TSLA,STC,1.000000,165.000000,4.700000,2023-04-03T15:21:43.531356Z,2023-05-12,Expired,sell put
TSLA,BTC,1.000000,255.000000,0.220000,2023-04-18T16:31:18.941138Z,2023-05-05,Expired,buy call
TSLA,STC,1.000000,230.000000,1.130000,2023-04-18T16:32:41.522400Z,2023-05-12,Expired,sell call
TSLA,BTC,1.000000,230.000000,0.120000,2023-04-21T15:05:01.488164Z,2023-05-12,Expired,buy call
TSLA,STC,1.000000,190.000000,1.550000,2023-04-24T15:07:19.668375Z,2023-05-26,Expired,sell call
TSLA,BTC,1.000000,190.000000,1.290000,2023-05-05T15:04:47.285648Z,2023-05-26,Expired,buy call
TSLA,STC,1.000000,195.000000,1.880000,2023-05-05T15:05:50.860664Z,2023-06-09,Expired,sell call
TSLA,BTC,1.000000,165.000000,1.630000,2023-05-09T13:53:45.799440Z,2023-05-12,Expired,buy put
TSLA,STC,1.000000,200.000000,1.220000,2023-05-10T14:43:01.768512Z,2023-06-09,Expired,sell call
TSLA,STC,1.000000,145.000000,2.110000,2023-05-15T14:56:33.802108Z,2023-06-09,Expired,sell put
TSLA,STC,1.000000,205.000000,1.130000,2023-05-17T17:21:39.099779Z,2023-06-16,Expired,sell call
TSLA,BTC,1.000000,145.000000,0.680000,2023-05-18T15:02:54.851666Z,2023-06-09,Expired,buy put
TSLA,BTC,1.000000,195.000000,3.800000,2023-05-22T15:47:30.301718Z,2023-06-09,Expired,buy call
TSLA,BTC,1.000000,205.000000,2.720000,2023-05-22T15:48:22.242725Z,2023-06-16,Expired,buy call
TSLA,BTC,1.000000,200.000000,2.590000,2023-05-22T15:48:50.186652Z,2023-06-09,Expired,buy call
TSLA,STC,1.000000,220.000000,1.960000,2023-05-22T15:50:48.893034Z,2023-06-30,Expired,sell call
TSLA,STC,1.000000,172.500000,0.560000,2023-05-22T15:53:43.282068Z,2023-05-26,Expired,sell put
TSLA,STC,1.000000,235.000000,1.120000,2023-05-22T19:00:54.201105Z,2023-06-30,Expired,sell call
TSLA,BTC,1.000000,172.500000,0.120000,2023-05-25T15:09:13.700394Z,2023-05-26,Expired,buy put
TSLA,STC,1.000000,230.000000,1.970000,2023-05-26T15:29:02.258687Z,2023-06-30,Expired,sell call
TSLA,STC,1.000000,265.000000,1.720000,2023-05-30T14:37:21.957022Z,2023-07-07,Assigned,sell call
TSLA,STC,1.000000,185.000000,0.720000,2023-05-30T14:38:30.134170Z,2023-06-02,Expired,sell put
TSLA,BTC,1.000000,185.000000,0.540000,2023-05-31T14:12:12.875137Z,2023-06-02,Expired,buy put
TSLA,STC,1.000000,190.000000,1.200000,2023-05-31T14:13:49.067700Z,2023-06-02,Expired,sell put
TSLA,STC,1.000000,190.000000,1.330000,2023-05-31T14:42:54.268947Z,2023-06-02,Expired,sell put
TSLA,BTC,2.000000,190.000000,0.200000,2023-06-01T14:47:00.963649Z,2023-06-02,Expired,buy put
TSLA,STC,1.000000,195.000000,0.670000,2023-06-01T14:53:27.449286Z,2023-06-02,Expired,sell put
TSLA,STC,1.000000,195.000000,0.440000,2023-06-01T15:26:09.551353Z,2023-06-02,Expired,sell put
TSLA,BTC,1.000000,195.000000,0.220000,2023-06-01T16:26:50.711333Z,2023-06-02,Expired,buy put
TSLA,BTC,1.000000,220.000000,7.350000,2023-06-01T16:27:20.833917Z,2023-06-30,Expired,buy call
TSLA,BTC,1.000000,195.000000,0.210000,2023-06-01T16:27:45.505488Z,2023-06-02,Expired,buy put
TSLA,STC,1.000000,202.500000,1.350000,2023-06-01T16:28:45.395725Z,2023-06-02,Expired,sell put
TSLA,STC,1.000000,230.000000,0.060000,2023-06-01T16:36:27.727146Z,2023-06-02,Expired,sell call
TSLA,BTC,1.000000,230.000000,6.850000,2023-06-02T14:43:43.776588Z,2023-06-30,Expired,buy call
TSLA,BTC,1.000000,235.000000,5.600000,2023-06-02T14:44:00.510130Z,2023-06-30,Expired,buy call
TSLA,STC,1.000000,280.000000,1.030000,2023-06-02T14:45:43.410169Z,2023-06-30,Expired,sell call
TSLA,STC,1.000000,270.000000,2.200000,2023-06-02T14:50:09.577586Z,2023-07-07,Assigned,sell call
TSLA,STC,1.000000,210.000000,1.800000,2023-06-05T15:08:56.046091Z,2023-06-09,Expired,sell put
TSLA,STC,1.000000,245.000000,0.480000,2023-06-05T15:11:20.657694Z,2023-06-09,Expired,sell call
TSLA,BTC,1.000000,210.000000,0.210000,2023-06-07T15:02:35.415984Z,2023-06-09,Expired,buy put
TSLA,STC,1.000000,220.000000,1.250000,2023-06-07T15:11:32.373434Z,2023-06-09,Expired,sell put
TSLA,BTC,1.000000,220.000000,0.220000,2023-06-08T15:53:43.802596Z,2023-06-09,Expired,buy put
TSLA,BTC,1.000000,245.000000,0.470000,2023-06-08T15:56:43.119386Z,2023-06-09,Expired,buy call
TSLA,STC,2.000000,220.000000,0.230000,2023-06-08T16:24:10.801915Z,2023-06-09,Expired,sell put
TSLA,STC,1.000000,245.000000,0.380000,2023-06-08T16:27:43.519248Z,2023-06-09,Expired,sell call
TSLA,BTC,2.000000,220.000000,0.010000,2023-06-09T14:56:28.646978Z,2023-06-09,Expired,buy put
TSLA,STC,1.000000,245.000000,1.150000,2023-06-09T14:57:11.072274Z,2023-06-09,Expired,sell put
TSLA,BTC,1.000000,245.000000,1.010000,2023-06-09T15:03:24.448794Z,2023-06-09,Expired,buy put
TSLA,STC,1.000000,247.500000,1.960000,2023-06-09T15:04:01.682621Z,2023-06-09,Assigned,sell put
TSLA,STC,1.000000,273.330000,1.240000,2023-06-12T14:54:56.803766Z,2023-06-16,Expired,sell call
TSLA,STC,1.000000,200.000000,0.210000,2023-06-13T15:06:31.572295Z,2023-06-23,Expired,sell put
TSLA,STC,1.000000,290.000000,0.410000,2023-06-14T15:30:49.440100Z,2023-06-16,Expired,sell call
TSLA,BTC,1.000000,290.000000,0.320000,2023-06-14T19:28:03.902791Z,2023-06-16,Expired,buy call
TSLA,STC,1.000000,275.000000,1.020000,2023-06-14T19:30:16.969716Z,2023-06-16,Expired,sell call
TSLA,BTC,1.000000,200.000000,0.180000,2023-06-15T14:57:52.516818Z,2023-06-23,Expired,buy put
TSLA,STC,1.000000,255.000000,0.340000,2023-06-16T15:12:32.801604Z,2023-06-16,Expired,sell put
TSLA,BTC,1.000000,275.000000,0.040000,2023-06-16T15:26:07.210391Z,2023-06-16,Expired,buy call
TSLA,BTC,1.000000,273.330000,0.050000,2023-06-16T15:26:30.191842Z,2023-06-16,Expired,buy call
TSLA,STC,2.000000,270.000000,0.100000,2023-06-16T15:31:55.887685Z,2023-06-16,Expired,sell call
TSLA,BTC,2.000000,270.000000,0.090000,2023-06-16T15:44:44.104998Z,2023-06-16,Expired,buy call
TSLA,STC,2.000000,266.670000,0.170000,2023-06-16T15:47:41.648736Z,2023-06-16,Expired,sell call
TSLA,STC,1.000000,287.500000,1.150000,2023-06-20T15:03:52.207364Z,2023-06-23,Expired,sell call
TSLA,STC,1.000000,255.000000,2.900000,2023-06-20T15:04:52.764857Z,2023-06-23,Expired,sell put
TSLA,BTC,1.000000,255.000000,2.350000,2023-06-20T15:52:01.804445Z,2023-06-23,Expired,buy put
TSLA,STC,1.000000,265.000000,6.200000,2023-06-20T15:52:33.247084Z,2023-06-23,Expired,sell put
TSLA,STC,1.000000,292.500000,1.070000,2023-06-20T16:29:05.171977Z,2023-06-23,Expired,sell call
TSLA,BTC,1.000000,265.000000,4.000000,2023-06-20T17:56:48.118045Z,2023-06-23,Expired,buy put
TSLA,STC,1.000000,267.500000,5.000000,2023-06-20T17:58:13.680903Z,2023-06-23,Assigned,sell put
